Kreis-Id; Stadt;Winterweizen;Roggen und Wintermenggetreide;Wintergerste;Sommergerste;Hafer;Triticale;Kartoffeln;Zuckerrüben;Winterraps;Silomais
08226;      Rhein-Neckar-Kreis, Landkreis;79,6;55,6;70,3;57,7;49,2;/;/;762;38,1;505,8
08231;      Pforzheim, Stadtkreis;/;-;/;-;/;-;-;-;/;/
08235;      Calw, Landkreis;67,1;/;/;/;/;/;/;/;/;/
08236;      Enzkreis, Landkreis;86,6;/;69,2;65,8;/;/;/;/;44,6;452,2
08237;      Freudenstadt, Landkreis;81,6;/;74,3;/;47,3;/;199,8;-;46;542,8
08311;      Freiburg im Breisgau, Stadtkreis;/;/;/;/;/;/;/;/;-;/
08315;      Breisgau-Hochschwarzwald, Landkreis;86,4;/;73,1;73,2;/;/;438,5;/;/;355,5
08316;      Emmendingen, Landkreis;81,9;/;/;/;/;/;/;/;/;/
08317;      Ortenaukreis, Landkreis;76;/;70,7;/;62,5;/;/;/;/;/
08325;      Rottweil, Landkreis;81,6;/;81,2;/;59,7;78,9;/;-;41,5;482,5
08326;      Schwarzwald-Baar-Kreis, Landkreis;78,5;/;82,9;/;59,3;/;/;/;/;455,1
08327;      Tuttlingen, Landkreis;70,8;/;70,6;42,1;/;53,2;273,6;/;39,7;524
08335;      Konstanz, Landkreis;78,6;/;89,3;/;/;/;/;/;/;465,5
08336;      Lörrach, Landkreis;/;/;/;/;/;/;/;/;/;/
08337;      Waldshut, Landkreis;68,2;/;67,6;53,8;58,3;74,1;/;/;/;429,1
08415;      Reutlingen, Landkreis;67,1;57,9;77,3;48,2;51,3;68;/;/;40,5;395,4
08416;      Tübingen, Landkreis;78,1;/;79,3;68,4;48,1;/;/;930,6;43,3;/
08417;      Zollernalbkreis, Landkreis;62,8;/;55,5;/;46,8;66,8;/;-;38,4;438,4
08421;      Ulm, Stadtkreis;/;-;/;/;/;/;/;/;/;/
08425;      Alb-Donau-Kreis, Landkreis;81,3;/;78,1;69,8;31,5;75,1;/;/;45,7;419,3
08426;      Biberach, Landkreis;91,4;/;84,8;67;66,3;76,6;/;969,9;46,6;519,4
08435;      Bodenseekreis, Landkreis;71,6;/;/;/;/;/;/;/;/;/
08436;      Ravensburg, Landkreis;83,9;/;75,8;/;59,9;/;/;/;/;513,6
08437;      Sigmaringen, Landkreis;85,7;/;79,6;67,2;66,5;/;/;931,7;43,3;412,2
