,Jahr,Kreis-Id, Stadt,Winterweizen
130,2023,08425,"      Alb-Donau-Kreis, Landkreis",77.3
131,2023,08426,"      Biberach, Landkreis",80.7
132,2023,08435,"      Bodenseekreis, Landkreis",79.5
133,2023,08436,"      Ravensburg, Landkreis",81.2
134,2023,08437,"      Sigmaringen, Landkreis",82.5
137,2022,08115,"      Böblingen, Landkreis",81.9
138,2022,08116,"      Esslingen, Landkreis",91.2
139,2022,08117,"      Göppingen, Landkreis",82.5
140,2022,08118,"      Ludwigsburg, Landkreis",73.5
141,2022,08119,"      Rems-Murr-Kreis, Landkreis",63.1
143,2022,08125,"      Heilbronn, Landkreis",76.8
144,2022,08126,"      Hohenlohekreis, Landkreis",65.4
145,2022,08127,"      Schwäbisch Hall, Landkreis",75.8
146,2022,08128,"      Main-Tauber-Kreis, Landkreis",61.7
147,2022,08135,"      Heidenheim, Landkreis",69.2
148,2022,08136,"      Ostalbkreis, Landkreis",78.5
151,2022,08215,"      Karlsruhe, Landkreis",75.9
152,2022,08216,"      Rastatt, Landkreis",65.4
155,2022,08225,"      Neckar-Odenwald-Kreis, Landkreis",62.0
156,2022,08226,"      Rhein-Neckar-Kreis, Landkreis",73.8
158,2022,08235,"      Calw, Landkreis",88.8
159,2022,08236,"      Enzkreis, Landkreis",83.9
160,2022,08237,"      Freudenstadt, Landkreis",77.8
162,2022,08315,"      Breisgau-Hochschwarzwald, Landkreis",90.0
163,2022,08316,"      Emmendingen, Landkreis",71.9
164,2022,08317,"      Ortenaukreis, Landkreis",74.0
165,2022,08325,"      Rottweil, Landkreis",73.3
167,2022,08327,"      Tuttlingen, Landkreis",76.9
168,2022,08335,"      Konstanz, Landkreis",52.6
170,2022,08337,"      Waldshut, Landkreis",87.4
171,2022,08415,"      Reutlingen, Landkreis",67.1
172,2022,08416,"      Tübingen, Landkreis",75.2
173,2022,08417,"      Zollernalbkreis, Landkreis",69.9
175,2022,08425,"      Alb-Donau-Kreis, Landkreis",81.6
176,2022,08426,"      Biberach, Landkreis",86.8
178,2022,08436,"      Ravensburg, Landkreis",87.2
179,2022,08437,"      Sigmaringen, Landkreis",86.0
182,2021,08115,"      Böblingen, Landkreis",69.7
183,2021,08116,"      Esslingen, Landkreis",60.7
184,2021,08117,"      Göppingen, Landkreis",69.5
185,2021,08118,"      Ludwigsburg, Landkreis",69.7
186,2021,08119,"      Rems-Murr-Kreis, Landkreis",64.1
188,2021,08125,"      Heilbronn, Landkreis",70.1
189,2021,08126,"      Hohenlohekreis, Landkreis",65.7
190,2021,08127,"      Schwäbisch Hall, Landkreis",70.0
191,2021,08128,"      Main-Tauber-Kreis, Landkreis",62.5
192,2021,08135,"      Heidenheim, Landkreis",59.5
193,2021,08136,"      Ostalbkreis, Landkreis",68.4
196,2021,08215,"      Karlsruhe, Landkreis",59.9
197,2021,08216,"      Rastatt, Landkreis",59.2
200,2021,08225,"      Neckar-Odenwald-Kreis, Landkreis",64.4
201,2021,08226,"      Rhein-Neckar-Kreis, Landkreis",69.1
204,2021,08236,"      Enzkreis, Landkreis",68.5
205,2021,08237,"      Freudenstadt, Landkreis",70.7
207,2021,08315,"      Breisgau-Hochschwarzwald, Landkreis",80.5
208,2021,08316,"      Emmendingen, Landkreis",75.4
209,2021,08317,"      Ortenaukreis, Landkreis",70.5
210,2021,08325,"      Rottweil, Landkreis",67.5
212,2021,08327,"      Tuttlingen, Landkreis",66.3
213,2021,08335,"      Konstanz, Landkreis",51.6
215,2021,08337,"      Waldshut, Landkreis",47.6
216,2021,08415,"      Reutlingen, Landkreis",53.9
217,2021,08416,"      Tübingen, Landkreis",57.6
218,2021,08417,"      Zollernalbkreis, Landkreis",52.1
220,2021,08425,"      Alb-Donau-Kreis, Landkreis",68.7
221,2021,08426,"      Biberach, Landkreis",70.4
222,2021,08435,"      Bodenseekreis, Landkreis",80.1
223,2021,08436,"      Ravensburg, Landkreis",75.8
224,2021,08437,"      Sigmaringen, Landkreis",70.1
227,2020,08115,"      Böblingen, Landkreis",85.6
228,2020,08116,"      Esslingen, Landkreis",86.4
229,2020,08117,"      Göppingen, Landkreis",81.8
230,2020,08118,"      Ludwigsburg, Landkreis",75.1
231,2020,08119,"      Rems-Murr-Kreis, Landkreis",71.5
233,2020,08125,"      Heilbronn, Landkreis",81.7
234,2020,08126,"      Hohenlohekreis, Landkreis",75.5
235,2020,08127,"      Schwäbisch Hall, Landkreis",88.8
236,2020,08128,"      Main-Tauber-Kreis, Landkreis",69.5
237,2020,08135,"      Heidenheim, Landkreis",69.0
238,2020,08136,"      Ostalbkreis, Landkreis",82.9
241,2020,08215,"      Karlsruhe, Landkreis",69.0
242,2020,08216,"      Rastatt, Landkreis",73.8
245,2020,08225,"      Neckar-Odenwald-Kreis, Landkreis",68.6
246,2020,08226,"      Rhein-Neckar-Kreis, Landkreis",82.8
248,2020,08235,"      Calw, Landkreis",92.1
249,2020,08236,"      Enzkreis, Landkreis",83.7
250,2020,08237,"      Freudenstadt, Landkreis",86.7
252,2020,08315,"      Breisgau-Hochschwarzwald, Landkreis",98.2
253,2020,08316,"      Emmendingen, Landkreis",78.9
254,2020,08317,"      Ortenaukreis, Landkreis",83.4
255,2020,08325,"      Rottweil, Landkreis",82.3
256,2020,08326,"      Schwarzwald-Baar-Kreis, Landkreis",88.1
257,2020,08327,"      Tuttlingen, Landkreis",78.6
258,2020,08335,"      Konstanz, Landkreis",68.7
260,2020,08337,"      Waldshut, Landkreis",87.5
261,2020,08415,"      Reutlingen, Landkreis",69.4
262,2020,08416,"      Tübingen, Landkreis",80.7
263,2020,08417,"      Zollernalbkreis, Landkreis",63.1
265,2020,08425,"      Alb-Donau-Kreis, Landkreis",85.7
266,2020,08426,"      Biberach, Landkreis",92.7
267,2020,08435,"      Bodenseekreis, Landkreis",91.6
268,2020,08436,"      Ravensburg, Landkreis",92.6
269,2020,08437,"      Sigmaringen, Landkreis",91.2
272,2019,08115,"      Böblingen, Landkreis",83.3
273,2019,08116,"      Esslingen, Landkreis",79.4
274,2019,08117,"      Göppingen, Landkreis",79.0
275,2019,08118,"      Ludwigsburg, Landkreis",76.0
276,2019,08119,"      Rems-Murr-Kreis, Landkreis",75.5
278,2019,08125,"      Heilbronn, Landkreis",79.1
279,2019,08126,"      Hohenlohekreis, Landkreis",74.9
280,2019,08127,"      Schwäbisch Hall, Landkreis",82.5
281,2019,08128,"      Main-Tauber-Kreis, Landkreis",68.5
282,2019,08135,"      Heidenheim, Landkreis",63.3
283,2019,08136,"      Ostalbkreis, Landkreis",77.7
286,2019,08215,"      Karlsruhe, Landkreis",71.7
287,2019,08216,"      Rastatt, Landkreis",72.4
290,2019,08225,"      Neckar-Odenwald-Kreis, Landkreis",70.1
291,2019,08226,"      Rhein-Neckar-Kreis, Landkreis",77.8
294,2019,08236,"      Enzkreis, Landkreis",76.7
295,2019,08237,"      Freudenstadt, Landkreis",85.5
297,2019,08315,"      Breisgau-Hochschwarzwald, Landkreis",87.6
298,2019,08316,"      Emmendingen, Landkreis",80.7
299,2019,08317,"      Ortenaukreis, Landkreis",80.4
300,2019,08325,"      Rottweil, Landkreis",73.7
301,2019,08326,"      Schwarzwald-Baar-Kreis, Landkreis",73.1
302,2019,08327,"      Tuttlingen, Landkreis",81.7
303,2019,08335,"      Konstanz, Landkreis",62.4
305,2019,08337,"      Waldshut, Landkreis",82.2
306,2019,08415,"      Reutlingen, Landkreis",63.8
307,2019,08416,"      Tübingen, Landkreis",73.6
308,2019,08417,"      Zollernalbkreis, Landkreis",59.4
310,2019,08425,"      Alb-Donau-Kreis, Landkreis",76.4
311,2019,08426,"      Biberach, Landkreis",83.2
312,2019,08435,"      Bodenseekreis, Landkreis",85.0
313,2019,08436,"      Ravensburg, Landkreis",77.2
314,2019,08437,"      Sigmaringen, Landkreis",82.9
316,2018,08111,"      Stuttgart, Stadtkreis",78.9
317,2018,08115,"      Böblingen, Landkreis",86.0
318,2018,08116,"      Esslingen, Landkreis",73.4
319,2018,08117,"      Göppingen, Landkreis",79.8
320,2018,08118,"      Ludwigsburg, Landkreis",69.7
321,2018,08119,"      Rems-Murr-Kreis, Landkreis",69.6
323,2018,08125,"      Heilbronn, Landkreis",74.5
324,2018,08126,"      Hohenlohekreis, Landkreis",68.7
325,2018,08127,"      Schwäbisch Hall, Landkreis",74.4
326,2018,08128,"      Main-Tauber-Kreis, Landkreis",66.4
327,2018,08135,"      Heidenheim, Landkreis",76.5
328,2018,08136,"      Ostalbkreis, Landkreis",79.0
331,2018,08215,"      Karlsruhe, Landkreis",66.9
332,2018,08216,"      Rastatt, Landkreis",67.0
335,2018,08225,"      Neckar-Odenwald-Kreis, Landkreis",63.8
336,2018,08226,"      Rhein-Neckar-Kreis, Landkreis",76.1
338,2018,08235,"      Calw, Landkreis",83.1
339,2018,08236,"      Enzkreis, Landkreis",80.4
340,2018,08237,"      Freudenstadt, Landkreis",84.5
342,2018,08315,"      Breisgau-Hochschwarzwald, Landkreis",82.2
343,2018,08316,"      Emmendingen, Landkreis",86.3
344,2018,08317,"      Ortenaukreis, Landkreis",78.2
345,2018,08325,"      Rottweil, Landkreis",83.9
346,2018,08326,"      Schwarzwald-Baar-Kreis, Landkreis",78.7
347,2018,08327,"      Tuttlingen, Landkreis",71.9
348,2018,08335,"      Konstanz, Landkreis",69.0
350,2018,08337,"      Waldshut, Landkreis",78.2
351,2018,08415,"      Reutlingen, Landkreis",70.6
352,2018,08416,"      Tübingen, Landkreis",85.7
353,2018,08417,"      Zollernalbkreis, Landkreis",73.1
355,2018,08425,"      Alb-Donau-Kreis, Landkreis",81.3
356,2018,08426,"      Biberach, Landkreis",87.3
357,2018,08435,"      Bodenseekreis, Landkreis",81.2
358,2018,08436,"      Ravensburg, Landkreis",84.7
359,2018,08437,"      Sigmaringen, Landkreis",85.9
361,2017,08111,"      Stuttgart, Stadtkreis",71.6
362,2017,08115,"      Böblingen, Landkreis",81.8
363,2017,08116,"      Esslingen, Landkreis",74.3
364,2017,08117,"      Göppingen, Landkreis",82.2
365,2017,08118,"      Ludwigsburg, Landkreis",68.6
366,2017,08119,"      Rems-Murr-Kreis, Landkreis",74.0
368,2017,08125,"      Heilbronn, Landkreis",79.6
369,2017,08126,"      Hohenlohekreis, Landkreis",78.6
370,2017,08127,"      Schwäbisch Hall, Landkreis",85.3
371,2017,08128,"      Main-Tauber-Kreis, Landkreis",72.9
372,2017,08135,"      Heidenheim, Landkreis",59.0
373,2017,08136,"      Ostalbkreis, Landkreis",84.4
376,2017,08215,"      Karlsruhe, Landkreis",65.9
380,2017,08225,"      Neckar-Odenwald-Kreis, Landkreis",74.7
381,2017,08226,"      Rhein-Neckar-Kreis, Landkreis",78.0
383,2017,08235,"      Calw, Landkreis",80.8
384,2017,08236,"      Enzkreis, Landkreis",77.8
385,2017,08237,"      Freudenstadt, Landkreis",80.4
387,2017,08315,"      Breisgau-Hochschwarzwald, Landkreis",80.0
388,2017,08316,"      Emmendingen, Landkreis",82.6
389,2017,08317,"      Ortenaukreis, Landkreis",80.4
390,2017,08325,"      Rottweil, Landkreis",74.3
391,2017,08326,"      Schwarzwald-Baar-Kreis, Landkreis",77.1
392,2017,08327,"      Tuttlingen, Landkreis",71.3
393,2017,08335,"      Konstanz, Landkreis",61.2
395,2017,08337,"      Waldshut, Landkreis",77.6
396,2017,08415,"      Reutlingen, Landkreis",66.4
397,2017,08416,"      Tübingen, Landkreis",80.8
